Type,ConID,AssetType,SecurityID,CUSIP,Symbol,BBTicker,BBTickerAndExchangeCode,BBGlobalID,Description,UnderlyingSymbol,UnderlyingCategory,UnderlyingSecurityId,UnderlyingPrimaryExchange,UnderlyingConID,Multiplier,ExpirationDate,OptionType,OptionStrike,MaturityDate,IssueDate,PrimaryExchange,Currency,SubCategory,Issuer,DeliveryMonth,
D,110619459,STK,US6974351057,697435105,PANW,PANW,PANW US,BBG0014GJCT9,PALO ALTO NETWORKS INC,,,,,,1,,,,,,NASDAQ,USD,COMMON,,,
D,13497,STK,US91913Y1001,91913Y100,VLO,VLO,VLO US,BBG000BBGGQ1,VALERO ENERGY CORP,,,,,,1,,,,,,NYSE,USD,COMMON,,,
D,141432825,FUND,US3159117502,315911750,FXAIX,,,,Fidelity FIDELITY 500 INDEX,,,,,,1,,,,,,,USD,,,,
D,1520593,STK,US46625H1005,46625H100,JPM,JPM,JPM US,BBG000DMBXR2,JPMORGAN CHASE & CO,,,,,,1,,,,,,NYSE,USD,COMMON,,,
D,199169591,STK,US70450Y1038,70450Y103,PYPL,PYPL,PYPL US,BBG0077VNXV6,PAYPAL HOLDINGS INC,,,,,,1,,,,,,NASDAQ,USD,COMMON,,,
D,208813720,STK,US02079K1079,02079K107,GOOG,GOOG,GOOG US,BBG009S3NB30,ALPHABET INC-CL C,,,,,,1,,,,,,NASDAQ,USD,COMMON,,,
D,272093,STK,US5949181045,594918104,MSFT,MSFT,MSFT US,BBG000BPH459,MICROSOFT CORP,,,,,,1,,,,,,NASDAQ,USD,COMMON,,,
D,272104927,STK,US05464C1018,05464C101,AXON,AXON,AXON US,BBG000BHJWG1,AXON ENTERPRISE INC,,,,,,1,,,,,,NASDAQ,USD,COMMON,,,
D,320227571,STK,US46090E1038,46090E103,QQQ,QQQ,QQQ US,BBG000BSWKH7,INVESCO QQQ TRUST SERIES 1,,,,,,1,,,,,,NASDAQ,USD,ETF,,,
D,3691937,STK,US0231351067,023135106,AMZN,AMZN,AMZN US,BBG000BVPV84,AMAZON.COM INC,,,,,,1,,,,,,NASDAQ,USD,COMMON,,,
D,4627828,STK,US38141G1040,38141G104,GS,GS,GS US,BBG000C6CFJ5,GOLDMAN SACHS GROUP INC,,,,,,1,,,,,,NYSE,USD,COMMON,,,
D,496084169,STK,US25401T1088,25401T108,DBRG.OLD,,,,DIGITALBRIDGE GROUP INC,,,,,,1,,,,,,NYSE,USD,COMMON,,,
D,578327143,STK,US25401T6038,25401T603,DBRG,DBRG,DBRG US,BBG00D30HGP6,DIGITALBRIDGE GROUP INC,,,,,,1,,,,,,NYSE,USD,COMMON,,,
D,6459,STK,US2546871060,254687106,DIS,DIS,DIS US,BBG000BH4R78,WALT DISNEY CO/THE,,,,,,1,,,,,,NYSE,USD,COMMON,,,
D,6917,STK,US29476L1070,29476L107,EQR,EQR,EQR US,BBG000BG8M31,EQUITY RESIDENTIAL,,,,,,1,,,,,,NYSE,USD,REIT,,,
D,756733,STK,US78462F1030,78462F103,SPY,SPY,SPY US,BBG000BDTBL9,SPDR S&P 500 ETF TRUST,,,,,,1,,,,,,ARCA,USD,ETF,,,
D,9063285,STK,US46120E6023,46120E602,ISRG,ISRG,ISRG US,BBG000BJPDZ1,INTUITIVE SURGICAL INC,,,,,,1,,,,,,NASDAQ,USD,COMMON,,,
D,9579970,STK,US4642876555,464287655,IWM,IWM,IWM US,BBG000CGC9C4,ISHARES RUSSELL 2000 ETF,,,,,,1,,,,,,ARCA,USD,ETF,,,
D,9579976,STK,US4642878049,464287804,IJR,IJR,IJR US,BBG000BWCNN7,ISHARES CORE S&P SMALL-CAP E,,,,,,1,,,,,,ARCA,USD,ETF,,,
