Type,AccountID,ConID,SecurityID,Symbol,BBTicker,BBGlobalID,SecurityDescription,AssetType,Currency,BaseCurrency,Quantity,QuantityInBase,CostPrice,CostBasis,CostBasisInBase,MarketPrice,MarketValue,MarketValueInBase,OpenDateTime,FxRateToBase,ReportDate,SettledQuantity,SettledQuantityInBase,MasterAccountID,Van,AccruedInt,OriginatingOrderID,Multiplier,
D,F6017651,,,,,,,CASH,USD,USD,256,256,0,0,0,0,0,0,,1,20221010,256,256,,,0,,1,
D,U4445393,3691937,US0231351067,AMZN,AMZN,BBG000BVPV84,AMAZON.COM INC,STK,USD,USD,240,0,145.593375,34942.41,34942.41,113.67,27280.8,27280.8,,1,20221010,0,0,F6017651,U4445393,0,,1,
D,U4445393,272104927,US05464C1018,AXON,AXON,BBG000BHJWG1,AXON ENTERPRISE INC,STK,USD,USD,41,0,118.57594317,4861.61367,4861.61367,126.16,5172.56,5172.56,,1,20221010,0,0,F6017651,U4445393,0,,1,
D,U4445393,578327143,US25401T6038,DBRG,DBRG,BBG00D30HGP6,DIGITALBRIDGE GROUP INC,STK,USD,USD,984,0,20.5132622,20185.05,20185.05,12.57,12368.88,12368.88,,1,20221010,0,0,F6017651,U4445393,0,,1,
D,U4445393,6459,US2546871060,DIS,DIS,BBG000BH4R78,WALT DISNEY CO/THE,STK,USD,USD,169,0,139.92305905,23646.99698,23646.99698,95.16,16082.04,16082.04,,1,20221010,0,0,F6017651,U4445393,0,,1,
D,U4445393,505002201,IE0003LFZ4U7,DOLE,DOLE,BBG011PCV4J9,DOLE PLC,STK,USD,USD,423,0,7.795,3297.285,3297.285,7.63,3227.49,3227.49,,1,20221010,0,0,F6017651,U4445393,0,,1,
D,U4445393,105368327,US29355A1079,ENPH,ENPH,BBG001R3MNY9,ENPHASE ENERGY INC,STK,USD,USD,-20,0,275.02357065,-5500.471413,-5500.471413,258.18,-5163.6,-5163.6,,1,20221010,0,0,F6017651,U4445393,0,,1,
D,U4445393,6917,US29476L1070,EQR,EQR,BBG000BG8M31,EQUITY RESIDENTIAL,STK,USD,USD,198,0,83.15212644,16464.121035,16464.121035,62.1,12295.8,12295.8,,1,20221010,0,0,F6017651,U4445393,0,,1,
D,U4445393,141432825,US3159117502,FXAIX,,,Fidelity FIDELITY 500 INDEX,FUND,USD,USD,62.116,0,86.85765342,5395.25,5395.25,125.35,7786.24,7786.24,,1,20221010,0,0,F6017651,U4445393,0,,1,
D,U4445393,208813720,US02079K1079,GOOG,GOOG,BBG009S3NB30,ALPHABET INC-CL C,STK,USD,USD,293,0,109.26466027,32014.54546,32014.54546,98.71,28922.03,28922.03,,1,20221010,0,0,F6017651,U4445393,0,,1,
