Type,AccountID,BaseCurrency,Cash,CashCollateral,Stocks,IPOSubscription,SecuritiesBorrowed,SecuritiesLent,Options,Bonds,Commodities,Funds,Notes,Accruals,DividendAccruals,SoftDollars,Crypto,Totals,TWR,CFDUnrealizedPL,ForexCFDUnrealizedPL,
D,F6017651,USD,241.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.045,0,0,0,
D,U4445393,USD,89297.95017808,0,237520.59,0,0,0,11.5,0,0,8557.61,0,18.35,238.56,0,0,335644.56017808,-1.552420159,0,0,
D,U5422138,USD,6250.38403157,0,15398.5,0,0,0,0,0,0,0,0,0,27.85,0,0,21676.73403157,-0.775196139,0,0,
D,U5457404,USD,35207.55448121,0,161402.25,0,0,0,0,0,0,0,0,11.73,40.5,0,0,196662.03448121,-1.511363753,0,0,
D,U5457571,USD,18795.44580408,0,181707.59,0,0,0,0,0,0,0,0,2.96,103.31,0,0,200609.30580408,-1.257656263,0,0,
D,U5824529,USD,834.50314596,0,2940.42,0,0,0,0,0,0,0,0,0,7.29,0,0,3782.21314596,-1.347462423,0,0,
