Type,AccountID,BaseCurrency,Cash,CashCollateral,Stocks,IPOSubscription,SecuritiesBorrowed,SecuritiesLent,Options,Bonds,Commodities,Funds,Notes,Accruals,DividendAccruals,SoftDollars,Crypto,Totals,TWR,CFDUnrealizedPL,ForexCFDUnrealizedPL,
D,F6017651,USD,241.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.045,0,0,0,
D,U4445393,USD,88501.91017808,0,238413.99,0,0,0,1,0,0,8541.39,0,22.21,154.54,0,0,335635.04017808,-0.002836334,0,0,
D,U5422138,USD,6242.51403157,0,15501.3,0,0,0,0,0,0,0,0,0,13.44,0,0,21757.25403157,0.371458172,0,0,
D,U5457404,USD,35074.85448121,0,160977.72,0,0,0,0,0,0,0,0,14.06,39.52,0,0,196106.15448121,-0.282657505,0,0,
D,U5457571,USD,18763.13580408,0,181708.53,0,0,0,0,0,0,0,0,4.42,57.64,0,0,200533.72580408,-0.037675221,0,0,
D,U5824529,USD,835.97314596,0,2940.22,0,0,0,0,0,0,0,0,0,5.82,0,0,3782.01314596,-0.005287909,0,0,
