Type,AccountID,BaseCurrency,Cash,CashCollateral,Stocks,IPOSubscription,SecuritiesBorrowed,SecuritiesLent,Options,Bonds,Commodities,Funds,Notes,Accruals,DividendAccruals,SoftDollars,Crypto,Totals,TWR,CFDUnrealizedPL,ForexCFDUnrealizedPL,
D,F6017651,USD,241.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.045,0,0,0,
D,U4445393,USD,83387.78517808,0,244226.76,0,0,0,1.5,0,0,8606.9,0,26.6,7.5,0,0,336257.04517808,0.18532183,0,0,
D,U5422138,USD,6122.88878157,0,15624.03,0,0,0,0,0,0,0,0,0,2.5,0,0,21749.41878157,-0.036012127,0,0,
D,U5457404,USD,34393.76560621,0,162999.85,0,0,0,0,0,0,0,0,16.39,2.5,0,0,197412.50560621,0.666144889,0,0,
D,U5457571,USD,18394.08005408,0,183239.67,0,0,0,0,0,0,0,0,4.42,35,0,0,201673.17005408,0.568205795,0,0,
D,U5824529,USD,813.18009596,0,2971.54,0,0,0,0,0,0,0,0,0,2.5,0,0,3787.22009596,0.137676676,0,0,
