Type,AccountID,ConID,SecurityID,Symbol,BBTicker,BBGlobalID,SecurityDescription,AssetType,Currency,BaseCurrency,Quantity,QuantityInBase,CostPrice,CostBasis,CostBasisInBase,MarketPrice,MarketValue,MarketValueInBase,OpenDateTime,FxRateToBase,ReportDate,SettledQuantity,SettledQuantityInBase,MasterAccountID,Van,AccruedInt,OriginatingOrderID,Multiplier,
D,F6017651,,,,,,,CASH,USD,USD,241.045,241.045,0,0,0,0,0,0,,1,20221206,241.045,241.045,,,0,,1,
D,U4445393,4725941,US00760J1088,AEHR,AEHR,BBG000BWM083,AEHR TEST SYSTEMS,STK,USD,USD,80,0,24.942465,1995.3972,1995.3972,22.66,1812.8,1812.8,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,3691937,US0231351067,AMZN,AMZN,BBG000BVPV84,AMAZON.COM INC,STK,USD,USD,231,0,145.42147403,33592.3605,33592.3605,88.25,20385.75,20385.75,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,288771051,US09215C1053,BKI,BKI,BBG00GX77LW3,BLACK KNIGHT INC,STK,USD,USD,80,0,61.1625,4893,4893,59.29,4743.2,4743.2,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,272997,US22160K1051,COST,COST,BBG000F6H8W8,COSTCO WHOLESALE CORP,STK,USD,USD,-40,0,497.15098267,-19886.039307,-19886.039307,481.16,-19246.4,-19246.4,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,578327143,US25401T6038,DBRG,DBRG,BBG00D30HGP6,DIGITALBRIDGE GROUP INC,STK,USD,USD,908,0,21.10948238,19167.41,19167.41,12.98,11785.84,11785.84,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,6459,US2546871060,DIS,DIS,BBG000BH4R78,WALT DISNEY CO/THE,STK,USD,USD,169,0,139.92305905,23646.99698,23646.99698,92.29,15597.01,15597.01,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,248682005,US26856L1035,ELF,ELF,BBG00DQ6VYP3,ELF BEAUTY INC,STK,USD,USD,-100,0,54.33862539,-5433.862539,-5433.862539,54.81,-5481,-5481,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,6917,US29476L1070,EQR,EQR,BBG000BG8M31,EQUITY RESIDENTIAL,STK,USD,USD,198,0,83.15212644,16464.121035,16464.121035,61.7,12216.6,12216.6,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,141432825,US3159117502,FXAIX,,,Fidelity FIDELITY 500 INDEX,FUND,USD,USD,62.396,0,87.03458555,5430.61,5430.61,137.15,8557.61,8557.61,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,158655765,US36162J1060,GEO,GEO,BBG000GC0TZ3,GEO GROUP INC/THE,STK,USD,USD,162,0,12.14607,1967.66334,1967.66334,11.85,1919.7,1919.7,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,208813720,US02079K1079,GOOG,GOOG,BBG009S3NB30,ALPHABET INC-CL C,STK,USD,USD,363,0,104.41858253,37903.94546,37903.94546,97.31,35323.53,35323.53,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,4627828,US38141G1040,GS,GS,BBG000C6CFJ5,GOLDMAN SACHS GROUP INC,STK,USD,USD,3,0,294.42666667,883.28,883.28,362.91,1088.73,1088.73,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,8153,US4404521001,HRL,HRL,BBG000BLF8D2,HORMEL FOODS CORP,STK,USD,USD,-100,0,46.83879713,-4683.879713,-4683.879713,46.84,-4684,-4684,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,9579976,US4642878049,IJR,IJR,BBG000BWCNN7,ISHARES CORE S&P SMALL-CAP E,STK,USD,USD,190,0,107.89,20499.1,20499.1,98.33,18682.7,18682.7,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,1520593,US46625H1005,JPM,JPM,BBG000DMBXR2,JPMORGAN CHASE & CO,STK,USD,USD,75,0,145.19323333,10889.4925,10889.4925,131.59,9869.25,9869.25,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,272093,US5949181045,MSFT,MSFT,BBG000BPH459,MICROSOFT CORP,STK,USD,USD,75,0,282.05743227,21154.30742,21154.30742,245.12,18384,18384,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,10880,US6745991058,OXY,OXY,BBG000BQQ2S6,OCCIDENTAL PETROLEUM CORP,STK,USD,USD,45,0,66.70176471,3001.579412,3001.579412,64.14,2886.3,2886.3,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,199169591,US70450Y1038,PYPL,PYPL,BBG0077VNXV6,PAYPAL HOLDINGS INC,STK,USD,USD,182,0,117.41452489,21369.44353,21369.44353,72.23,13145.86,13145.86,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,320227571,US46090E1038,QQQ,QQQ,BBG000BSWKH7,INVESCO QQQ TRUST SERIES 1,STK,USD,USD,56,0,297.26,16646.56,16646.56,281.68,15774.08,15774.08,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,592779810,,SI    221216C00065000,SI 12 C65,BBG01B4JM0M9,SI 16DEC22 65 C,OPT,USD,USD,50,0,0.7493815,3746.9075,3746.9075,0.0023,11.5,11.5,,1,20221206,0,0,F6017651,U4445393,0,,100,
D,U4445393,756733,US78462F1030,SPY,SPY,BBG000BDTBL9,SPDR S&P 500 ETF TRUST,STK,USD,USD,72,0,350.11607739,25208.357572,25208.357572,393.83,28355.76,28355.76,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,15547841,US4642874329,TLT,TLT,BBG000BJKYW3,ISHARES 20+ YEAR TREASURY BO,STK,USD,USD,344,0,104.70566294,36018.74805,36018.74805,106.95,36790.8,36790.8,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,76792991,US88160R1014,TSLA,TSLA,BBG000N9MNX3,TESLA INC,STK,USD,USD,-10,0,194.5654121,-1945.654121,-1945.654121,179.82,-1798.2,-1798.2,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,13116,US9022521051,TYL,TYL,BBG000BVWZF9,TYLER TECHNOLOGIES INC,STK,USD,USD,10,0,342.344,3423.44,3423.44,314.07,3140.7,3140.7,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,13497,US91913Y1001,VLO,VLO,BBG000BBGGQ1,VALERO ENERGY CORP,STK,USD,USD,98,0,109.0762148,10689.46905,10689.46905,118.86,11648.28,11648.28,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,337722877,US92511U1025,VRRM,VRRM,BBG00G4XQ9Z1,VERRA MOBILITY CORP,STK,USD,USD,343,0,14.85008746,5093.58,5093.58,15.1,5179.3,5179.3,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,,,,,,,CASH,USD,USD,89297.95017808,89297.95017808,0,0,0,0,0,0,,1,20221206,84042.08017808,84042.08017808,F6017651,U4445393,0,,1,
D,U4445393,,,,,,,INTACC,USD,USD,18.35,18.35,0,0,0,0,0,0,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U4445393,,,,,,,DIVACC,USD,USD,238.56,238.56,0,0,0,0,0,0,,1,20221206,0,0,F6017651,U4445393,0,,1,
D,U5422138,4725941,US00760J1088,AEHR,AEHR,BBG000BWM083,AEHR TEST SYSTEMS,STK,USD,USD,2,0,24.942465,49.88493,49.88493,22.66,45.32,45.32,,1,20221206,0,0,F6017651,U5422138,0,,1,
D,U5422138,3691937,US0231351067,AMZN,AMZN,BBG000BVPV84,AMAZON.COM INC,STK,USD,USD,4,0,90.54525,362.181,362.181,88.25,353,353,,1,20221206,0,0,F6017651,U5422138,0,,1,
D,U5422138,288771051,US09215C1053,BKI,BKI,BBG00GX77LW3,BLACK KNIGHT INC,STK,USD,USD,2,0,61.180575,122.36115,122.36115,59.29,118.58,118.58,,1,20221206,0,0,F6017651,U5422138,0,,1,
D,U5422138,578327143,US25401T6038,DBRG,DBRG,BBG00D30HGP6,DIGITALBRIDGE GROUP INC,STK,USD,USD,20,0,16.772,335.44,335.44,12.98,259.6,259.6,,1,20221206,0,0,F6017651,U5422138,0,,1,
D,U5422138,6459,US2546871060,DIS,DIS,BBG000BH4R78,WALT DISNEY CO/THE,STK,USD,USD,10,0,106.17306,1061.7306,1061.7306,92.29,922.9,922.9,,1,20221206,0,0,F6017651,U5422138,0,,1,
D,U5422138,6917,US29476L1070,EQR,EQR,BBG000BG8M31,EQUITY RESIDENTIAL,STK,USD,USD,13,0,74.55,969.15,969.15,61.7,802.1,802.1,,1,20221206,0,0,F6017651,U5422138,0,,1,
D,U5422138,158655765,US36162J1060,GEO,GEO,BBG000GC0TZ3,GEO GROUP INC/THE,STK,USD,USD,4,0,12.14607,48.58428,48.58428,11.85,47.4,47.4,,1,20221206,0,0,F6017651,U5422138,0,,1,
D,U5422138,208813720,US02079K1079,GOOG,GOOG,BBG009S3NB30,ALPHABET INC-CL C,STK,USD,USD,26,0,97.66111385,2539.18896,2539.18896,97.31,2530.06,2530.06,,1,20221206,0,0,F6017651,U5422138,0,,1,
D,U5422138,4627828,US38141G1040,GS,GS,BBG000C6CFJ5,GOLDMAN SACHS GROUP INC,STK,USD,USD,1,0,294.426667,294.426667,294.426667,362.91,362.91,362.91,,1,20221206,0,0,F6017651,U5422138,0,,1,
D,U5422138,272093,US5949181045,MSFT,MSFT,BBG000BPH459,MICROSOFT CORP,STK,USD,USD,6,0,236.69312067,1420.158724,1420.158724,245.12,1470.72,1470.72,,1,20221206,0,0,F6017651,U5422138,0,,1,
D,U5422138,10880,US6745991058,OXY,OXY,BBG000BQQ2S6,OCCIDENTAL PETROLEUM CORP,STK,USD,USD,1,0,66.723345,66.723345,66.723345,64.14,64.14,64.14,,1,20221206,0,0,F6017651,U5422138,0,,1,
D,U5422138,199169591,US70450Y1038,PYPL,PYPL,BBG0077VNXV6,PAYPAL HOLDINGS INC,STK,USD,USD,3,0,68.01399,204.04197,204.04197,72.23,216.69,216.69,,1,20221206,0,0,F6017651,U5422138,0,,1,
D,U5422138,15547841,US4642874329,TLT,TLT,BBG000BJKYW3,ISHARES 20+ YEAR TREASURY BO,STK,USD,USD,59,0,98.46387854,5809.368834,5809.368834,106.95,6310.05,6310.05,,1,20221206,0,0,F6017651,U5422138,0,,1,
D,U5422138,13116,US9022521051,TYL,TYL,BBG000BVWZF9,TYLER TECHNOLOGIES INC,STK,USD,USD,3,0,345.12936667,1035.3881,1035.3881,314.07,942.21,942.21,,1,20221206,0,0,F6017651,U5422138,0,,1,
D,U5422138,13497,US91913Y1001,VLO,VLO,BBG000BBGGQ1,VALERO ENERGY CORP,STK,USD,USD,7,0,105.862905,741.040335,741.040335,118.86,832.02,832.02,,1,20221206,0,0,F6017651,U5422138,0,,1,
D,U5422138,337722877,US92511U1025,VRRM,VRRM,BBG00G4XQ9Z1,VERRA MOBILITY CORP,STK,USD,USD,8,0,16.00625,128.05,128.05,15.1,120.8,120.8,,1,20221206,0,0,F6017651,U5422138,0,,1,
D,U5422138,,,,,,,CASH,USD,USD,6250.38403157,6250.38403157,0,0,0,0,0,0,,1,20221206,5851.20403157,5851.20403157,F6017651,U5422138,0,,1,
D,U5422138,,,,,,,DIVACC,USD,USD,27.85,27.85,0,0,0,0,0,0,,1,20221206,0,0,F6017651,U5422138,0,,1,
D,U5457404,4725941,US00760J1088,AEHR,AEHR,BBG000BWM083,AEHR TEST SYSTEMS,STK,USD,USD,11,0,24.942465,274.367115,274.367115,22.66,249.26,249.26,,1,20221206,0,0,F6017651,U5457404,0,,1,
D,U5457404,3691937,US0231351067,AMZN,AMZN,BBG000BVPV84,AMAZON.COM INC,STK,USD,USD,2,0,90.54525,181.0905,181.0905,88.25,176.5,176.5,,1,20221206,0,0,F6017651,U5457404,0,,1,
D,U5457404,288771051,US09215C1053,BKI,BKI,BBG00GX77LW3,BLACK KNIGHT INC,STK,USD,USD,11,0,61.180575,672.986325,672.986325,59.29,652.19,652.19,,1,20221206,0,0,F6017651,U5457404,0,,1,
D,U5457404,578327143,US25401T6038,DBRG,DBRG,BBG00D30HGP6,DIGITALBRIDGE GROUP INC,STK,USD,USD,122,0,14.52196721,1771.68,1771.68,12.98,1583.56,1583.56,,1,20221206,0,0,F6017651,U5457404,0,,1,
