Type,AccountID,ConID,SecurityID,Symbol,BBTicker,BBGlobalID,SecurityDescription,AssetType,Currency,BaseCurrency,Quantity,QuantityInBase,CostPrice,CostBasis,CostBasisInBase,MarketPrice,MarketValue,MarketValueInBase,OpenDateTime,FxRateToBase,ReportDate,SettledQuantity,SettledQuantityInBase,MasterAccountID,Van,AccruedInt,OriginatingOrderID,Multiplier,
D,U4445393,76792991,US88160R1014,TSLA,TSLA,BBG000N9MNX3,TESLA INC,STK,USD,USD,-10,0,194.5654121,-1945.654121,-1945.654121,173.44,-1734.4,-1734.4,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,13116,US9022521051,TYL,TYL,BBG000BVWZF9,TYLER TECHNOLOGIES INC,STK,USD,USD,10,0,342.344,3423.44,3423.44,318.44,3184.4,3184.4,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,13497,US91913Y1001,VLO,VLO,BBG000BBGGQ1,VALERO ENERGY CORP,STK,USD,USD,98,0,109.0762148,10689.46905,10689.46905,116.9,11456.2,11456.2,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,337722877,US92511U1025,VRRM,VRRM,BBG00G4XQ9Z1,VERRA MOBILITY CORP,STK,USD,USD,343,0,14.85008746,5093.58,5093.58,14.52,4980.36,4980.36,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,,,,,,,CASH,USD,USD,83387.78517808,83387.78517808,0,0,0,0,0,0,,1,20221208,89526.20517808,89526.20517808,F6017651,U4445393,0,,1,
D,U4445393,,,,,,,INTACC,USD,USD,26.6,26.6,0,0,0,0,0,0,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,,,,,,,DIVACC,USD,USD,7.5,7.5,0,0,0,0,0,0,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U5422138,4725941,US00760J1088,AEHR,AEHR,BBG000BWM083,AEHR TEST SYSTEMS,STK,USD,USD,2,0,24.942465,49.88493,49.88493,25.59,51.18,51.18,,1,20221208,0,0,F6017651,U5422138,0,,1,
D,U5422138,3691937,US0231351067,AMZN,AMZN,BBG000BVPV84,AMAZON.COM INC,STK,USD,USD,4,0,90.54525,362.181,362.181,90.35,361.4,361.4,,1,20221208,0,0,F6017651,U5422138,0,,1,
D,U5422138,288771051,US09215C1053,BKI,BKI,BBG00GX77LW3,BLACK KNIGHT INC,STK,USD,USD,2,0,61.180575,122.36115,122.36115,60.26,120.52,120.52,,1,20221208,0,0,F6017651,U5422138,0,,1,
D,U5422138,578327143,US25401T6038,DBRG,DBRG,BBG00D30HGP6,DIGITALBRIDGE GROUP INC,STK,USD,USD,20,0,16.772,335.44,335.44,12.63,252.6,252.6,,1,20221208,0,0,F6017651,U5422138,0,,1,
D,U5422138,6459,US2546871060,DIS,DIS,BBG000BH4R78,WALT DISNEY CO/THE,STK,USD,USD,10,0,106.17306,1061.7306,1061.7306,92.55,925.5,925.5,,1,20221208,0,0,F6017651,U5422138,0,,1,
D,U5422138,6917,US29476L1070,EQR,EQR,BBG000BG8M31,EQUITY RESIDENTIAL,STK,USD,USD,13,0,74.55,969.15,969.15,62.71,815.23,815.23,,1,20221208,0,0,F6017651,U5422138,0,,1,
D,U5422138,158655765,US36162J1060,GEO,GEO,BBG000GC0TZ3,GEO GROUP INC/THE,STK,USD,USD,6,0,11.81071333,70.86428,70.86428,11.54,69.24,69.24,,1,20221208,0,0,F6017651,U5422138,0,,1,
D,U5422138,208813720,US02079K1079,GOOG,GOOG,BBG009S3NB30,ALPHABET INC-CL C,STK,USD,USD,26,0,97.66111385,2539.18896,2539.18896,93.95,2442.7,2442.7,,1,20221208,0,0,F6017651,U5422138,0,,1,
D,U5422138,4627828,US38141G1040,GS,GS,BBG000C6CFJ5,GOLDMAN SACHS GROUP INC,STK,USD,USD,1,0,294.426667,294.426667,294.426667,358.08,358.08,358.08,,1,20221208,0,0,F6017651,U5422138,0,,1,
D,U5422138,9388,US55262C1009,MBI,MBI,BBG000BNQN34,MBIA INC,STK,USD,USD,10,0,13.056525,130.56525,130.56525,12.6,126,126,,1,20221208,0,0,F6017651,U5422138,0,,1,
D,U5422138,272093,US5949181045,MSFT,MSFT,BBG000BPH459,MICROSOFT CORP,STK,USD,USD,6,0,236.69312067,1420.158724,1420.158724,247.4,1484.4,1484.4,,1,20221208,0,0,F6017651,U5422138,0,,1,
D,U5422138,10880,US6745991058,OXY,OXY,BBG000BQQ2S6,OCCIDENTAL PETROLEUM CORP,STK,USD,USD,1,0,66.723345,66.723345,66.723345,63.71,63.71,63.71,,1,20221208,0,0,F6017651,U5422138,0,,1,
D,U5422138,199169591,US70450Y1038,PYPL,PYPL,BBG0077VNXV6,PAYPAL HOLDINGS INC,STK,USD,USD,3,0,68.01399,204.04197,204.04197,74.22,222.66,222.66,,1,20221208,0,0,F6017651,U5422138,0,,1,
D,U5422138,15547841,US4642874329,TLT,TLT,BBG000BJKYW3,ISHARES 20+ YEAR TREASURY BO,STK,USD,USD,59,0,98.46387854,5809.368834,5809.368834,109.17,6441.03,6441.03,,1,20221208,0,0,F6017651,U5422138,0,,1,
D,U5422138,13116,US9022521051,TYL,TYL,BBG000BVWZF9,TYLER TECHNOLOGIES INC,STK,USD,USD,3,0,345.12936667,1035.3881,1035.3881,318.44,955.32,955.32,,1,20221208,0,0,F6017651,U5422138,0,,1,
D,U5422138,13497,US91913Y1001,VLO,VLO,BBG000BBGGQ1,VALERO ENERGY CORP,STK,USD,USD,7,0,105.862905,741.040335,741.040335,116.9,818.3,818.3,,1,20221208,0,0,F6017651,U5422138,0,,1,
D,U5422138,337722877,US92511U1025,VRRM,VRRM,BBG00G4XQ9Z1,VERRA MOBILITY CORP,STK,USD,USD,8,0,16.00625,128.05,128.05,14.52,116.16,116.16,,1,20221208,0,0,F6017651,U5422138,0,,1,
D,U5422138,,,,,,,CASH,USD,USD,6122.88878157,6122.88878157,0,0,0,0,0,0,,1,20221208,6275.64878157,6275.64878157,F6017651,U5422138,0,,1,
D,U5422138,,,,,,,DIVACC,USD,USD,2.5,2.5,0,0,0,0,0,0,,1,20221208,0,0,F6017651,U5422138,0,,1,
D,U5457404,4725941,US00760J1088,AEHR,AEHR,BBG000BWM083,AEHR TEST SYSTEMS,STK,USD,USD,11,0,24.942465,274.367115,274.367115,25.59,281.49,281.49,,1,20221208,0,0,F6017651,U5457404,0,,1,
D,U5457404,3691937,US0231351067,AMZN,AMZN,BBG000BVPV84,AMAZON.COM INC,STK,USD,USD,2,0,90.54525,181.0905,181.0905,90.35,180.7,180.7,,1,20221208,0,0,F6017651,U5457404,0,,1,
D,U5457404,288771051,US09215C1053,BKI,BKI,BBG00GX77LW3,BLACK KNIGHT INC,STK,USD,USD,11,0,61.180575,672.986325,672.986325,60.26,662.86,662.86,,1,20221208,0,0,F6017651,U5457404,0,,1,
D,U5457404,578327143,US25401T6038,DBRG,DBRG,BBG00D30HGP6,DIGITALBRIDGE GROUP INC,STK,USD,USD,122,0,14.52196721,1771.68,1771.68,12.63,1540.86,1540.86,,1,20221208,0,0,F6017651,U5457404,0,,1,
D,U5457404,6459,US2546871060,DIS,DIS,BBG000BH4R78,WALT DISNEY CO/THE,STK,USD,USD,5,0,142.97,714.85,714.85,92.55,462.75,462.75,,1,20221208,0,0,F6017651,U5457404,0,,1,
D,U5457404,6917,US29476L1070,EQR,EQR,BBG000BG8M31,EQUITY RESIDENTIAL,STK,USD,USD,2,0,73.9983525,147.996705,147.996705,62.71,125.42,125.42,,1,20221208,0,0,F6017651,U5457404,0,,1,
D,U5457404,158655765,US36162J1060,GEO,GEO,BBG000GC0TZ3,GEO GROUP INC/THE,STK,USD,USD,34,0,11.79098647,400.89354,400.89354,11.54,392.36,392.36,,1,20221208,0,0,F6017651,U5457404,0,,1,
D,U5457404,208813720,US02079K1079,GOOG,GOOG,BBG009S3NB30,ALPHABET INC-CL C,STK,USD,USD,56,0,88.41347554,4951.15463,4951.15463,93.95,5261.2,5261.2,,1,20221208,0,0,F6017651,U5457404,0,,1,
D,U5457404,4627828,US38141G1040,GS,GS,BBG000C6CFJ5,GOLDMAN SACHS GROUP INC,STK,USD,USD,1,0,294.426667,294.426667,294.426667,358.08,358.08,358.08,,1,20221208,0,0,F6017651,U5457404,0,,1,
D,U5457404,9579970,US4642876555,IWM,IWM,BBG000CGC9C4,ISHARES RUSSELL 2000 ETF,STK,USD,USD,322,0,228.39,73541.58,73541.58,180.84,58230.48,58230.48,,1,20221208,0,0,F6017651,U5457404,0,,1,
D,U5457404,1520593,US46625H1005,JPM,JPM,BBG000DMBXR2,JPMORGAN CHASE & CO,STK,USD,USD,1,0,165.7589,165.7589,165.7589,132.88,132.88,132.88,,1,20221208,0,0,F6017651,U5457404,0,,1,
D,U5457404,9388,US55262C1009,MBI,MBI,BBG000BNQN34,MBIA INC,STK,USD,USD,55,0,13.056525,718.108875,718.108875,12.6,693,693,,1,20221208,0,0,F6017651,U5457404,0,,1,
D,U5457404,272093,US5949181045,MSFT,MSFT,BBG000BPH459,MICROSOFT CORP,STK,USD,USD,53,0,313.24981132,16602.24,16602.24,247.4,13112.2,13112.2,,1,20221208,0,0,F6017651,U5457404,0,,1,
D,U5457404,10880,US6745991058,OXY,OXY,BBG000BQQ2S6,OCCIDENTAL PETROLEUM CORP,STK,USD,USD,1,0,65.39268,65.39268,65.39268,63.71,63.71,63.71,,1,20221208,0,0,F6017651,U5457404,0,,1,
D,U5457404,199169591,US70450Y1038,PYPL,PYPL,BBG0077VNXV6,PAYPAL HOLDINGS INC,STK,USD,USD,27,0,68.00631578,1836.170526,1836.170526,74.22,2003.94,2003.94,,1,20221208,0,0,F6017651,U5457404,0,,1,
D,U5457404,320227571,US46090E1038,QQQ,QQQ,BBG000BSWKH7,INVESCO QQQ TRUST SERIES 1,STK,USD,USD,170,0,334.59,56880.3,56880.3,283.85,48254.5,48254.5,,1,20221208,0,0,F6017651,U5457404,0,,1,
